Quintada,Novatada,Novellada
Orquestra,Orquesta,Orquella
Polzada,Pulgada,Pulgassa
Sèrum,Suer,Suero
Ucraïna,Ucrània,Ukrània
Pasta de full,Hojaldre,Milfulles
Gual,Vado,Senyalissa
Torticoli,Tortícolis,Tortolació
Esdeveniment,Aconteixement,Ocorriment
Paradoxal,Paradòxic,Paradoxe
Ajornar,Atrassar,Atardonar
Inserir,Insertar,Introduïr
Encenedor,Metxero,Flamisella
Decebuda,Decepcionada,Decebida
Guingueta,Xiringuito,Tendasorrada
Dessuadora,Sudadera,Suadora
Gratis,Franquejat,Feruït
Carrota,Pastagana,Carrot
Entrepà,Bocata,Bocadill
Tovallola,Toalla,Toatlla
Embotit,Embutit,Emboït
Maduixa,Fretza,Freixa
Pilota,Manoguilla,Albònyiga
Bereneta,Brenar,Almorzar
Xiuxiueig,Susur,Sussurro
Sequer,Sécall,Sequell
Granera,Escombre,Escobe
Pallissa,Pal·lissa,Astumacada
Abstret,Ensimismat,Abstregut
Llombrígol,Omblic,Melig
Xerinola,Parranda,Txerinola
