Penya-segat,Acantilat
Vorera,Acera
Esdeveniment,Aconteixement
Alleujar,Aliviar
Ajornament,Aplaçament
Calb,Calvo
Gronxadors,Columpios
Davanter,Delanter
Estranger,Extranger
Espatlla,Hombro
Estona,Rato
Grinyolar,Xirriar
Malgastar,Derrotxar
Malaltia,Enfermetat
Esllavissada,Deslliçament
Floridura,Moho
Llindar,Umbral
Amunt,Adalt
Quelcom,Algo
He de,Tinc que
Reflectida,Reflexada
Advocat,Abogat
Crispetes,Palomites
Graellada,Paellada
Aniversari,Cumpleanys
Safareig,Cotilleig
Tempesta,Tormenta
Damisel·la,Damisela
Ca,Gòs
Treballar,Currar
Llapis,Llapissos
Disbarat,Dísparat
Migdiada,Dormissa
Puzle,Trencallosques
Quadrat,Cuadrat
Estomacar,Astumacar
Xaval,Chaval
